,humanGEMID,abbreviation,description,formula,subsystem,ecnumber,keggId,keggorthology,cog,seed,metanetx,MetaboliteMatch,Id
0,HMR_7914,10FTHF5GLUtl,"""5-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf5glu[c] -> 10fthf5glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94668,bio/C40H45N11O19,bio/HMR_7914
1,HMR_7915,10FTHF5GLUtl,"""5-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf5glu[c] -> 10fthf5glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94668,bio/C40H45N11O19,bio/HMR_7915
2,HMR_7914,10FTHF5GLUtm,"""5-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf5glu[m] -> 10fthf5glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94668,bio/C40H45N11O19,bio/HMR_7914
3,HMR_7915,10FTHF5GLUtm,"""5-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf5glu[m] -> 10fthf5glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94668,bio/C40H45N11O19,bio/HMR_7915
4,HMR_7917,10FTHF6GLUtl,"""6-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf6glu[c] -> 10fthf6glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94669,bio/C45H51N12O22,bio/HMR_7917
5,HMR_7918,10FTHF6GLUtl,"""6-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf6glu[c] -> 10fthf6glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94669,bio/C45H51N12O22,bio/HMR_7918
6,HMR_7917,10FTHF6GLUtm,"""6-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf6glu[m] -> 10fthf6glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94669,bio/C45H51N12O22,bio/HMR_7917
7,HMR_7918,10FTHF6GLUtm,"""6-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf6glu[m] -> 10fthf6glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94669,bio/C45H51N12O22,bio/HMR_7918
8,HMR_7923,10FTHF7GLUtl,"""7-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf7glu[c] -> 10fthf7glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94670,bio/C50H57N13O25,bio/HMR_7923
9,HMR_7924,10FTHF7GLUtl,"""7-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf7glu[c] -> 10fthf7glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94670,bio/C50H57N13O25,bio/HMR_7924
10,HMR_7923,10FTHF7GLUtm,"""7-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf7glu[m] -> 10fthf7glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94670,bio/C50H57N13O25,bio/HMR_7923
11,HMR_7924,10FTHF7GLUtm,"""7-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf7glu[m] -> 10fthf7glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94670,bio/C50H57N13O25,bio/HMR_7924
12,HMR_7927,10FTHFtl,"""10-Formyltetrahydrofolate Lysosomal Transport via Diffusion""","""10fthf[c] <=> 10fthf[l] """,transport_lysosomal,"""nan""",,,,,MNXR94672,bio/C20H21N7O7,bio/HMR_7927
13,10FTHFtm,10FTHFtl,"""10-Formyltetrahydrofolate Lysosomal Transport via Diffusion""","""10fthf[c] <=> 10fthf[l] """,transport_lysosomal,"""nan""",,,,,MNXR94672,bio/C20H21N7O7,bio/10FTHFtm
14,HMR_7927,10FTHFtm,"""10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion""","""10fthf[c] <=> 10fthf[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94672,bio/C20H21N7O7,bio/HMR_7927
15,10FTHFtm,10FTHFtm,"""10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion""","""10fthf[c] <=> 10fthf[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94672,bio/C20H21N7O7,bio/10FTHFtm
16,HMR_7929,11DOCRTSLtm,"""11-Deoxycortisol Intracellular Transport""","""11docrtsl[c] <=> 11docrtsl[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94673,bio/CHEMBL253144,bio/HMR_7929
17,HMR_7929,11DOCRTSLtr,"""11-Deoxycortisol Intracellular Transport""","""11docrtsl[c] <=> 11docrtsl[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR94673,bio/CHEMBL253144,bio/HMR_7929
18,HMR_7933,11DOCRTSTRNtm,"""11-Deoxycorticosterone Intracellular Transport""","""11docrtstrn[c] <=> 11docrtstrn[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94674,bio/CHEMBL1498,bio/HMR_7933
19,HMR_7933,11DOCRTSTRNtr,"""11-Deoxycorticosterone Intracellular Transport""","""11docrtstrn[c] <=> 11docrtstrn[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR94674,bio/CHEMBL1498,bio/HMR_7933
20,HMR_7992,13DAMPPOX,"""1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)""","""13dampp[c] + h2o[c] + o2[c] -> bamppald[c] + h2o2[c] + nh4[c] """,beta-alanine_metabolism,"""nan""",,,,rxn02250,MNXR94687,bio/CHEMBL174324,bio/HMR_7992
21,13DAMPPOX,13DAMPPOX,"""1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)""","""13dampp[c] + h2o[c] + o2[c] -> bamppald[c] + h2o2[c] + nh4[c] """,beta-alanine_metabolism,"""nan""",,,,rxn02250,MNXR94687,bio/CHEMBL174324,bio/13DAMPPOX
